計畫年度,主持人姓名,執行機關,內容
113,劉定宇,明志科技大學材料工程系,"計畫名稱：Ag/MXene/PEDOT:PSS奈米複合光觸媒及抗菌塗料之開發成果報告：執行起迄：2024/06/01~2025/05/31總核定金額：820,000元(各年度經費明細)計畫概述：本計畫所開發之Ag/MXene -導電複合高分子塗料具有先進的抗菌技術及光觸媒自潔能力，秉持配合政府政策推動新興生物技術與產品之理念，帶來新穎的設計思路，有助於突破國內生物醫學產業於產品發展瓶...(詳)中文關鍵字：MXene二維材料、 Ag/MXene 複合材料、導電高分子、抗菌能力、光觸媒自潔塗料英文關鍵字：MXene 2D materials, Ag/MXene composite materials, conductive polymers, antibacterial capability, photocatalytic self-cleaning coatings中文摘要：高效率抗菌塗料主要作用機制在於與細菌細胞壁相互作用，例如：物理裂解或電荷破壞，因此最有效的方法是利用MXenes 二維碳化物，透過物理方式破壞其細胞壁，而另一個方法則是利用光觸媒之自由基反應去...(詳)英文摘要：Efficient antibacterial coatings mainly act by interacting with bacterial cell walls, such as physical disruption or charge destruction. Therefore, the most effective method is to use MXenes, a tw...(詳)"
113,劉力維,國立科學工藝博物館展示組,"計畫名稱：現代化水稻低碳節水灌溉監控與調查技術發展成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：2,160,000元(各年度經費明細)計畫概述：本研究以計算流體力學技術，開發合理化水稻田甲烷氣體收集裝置，再根據水稻田甲烷產生及排放過程中受到土壤溫度、酸鹼值、濕度、電導度及氧化還原電位影響之機制，結合感測器、機電控制技術及可追溯式紀錄系...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉沛綱,高雄醫學大學附設中和紀念醫院眼科部,"計畫名稱：通過基因調控進行代謝重編程以拯救前部缺血性視神經病變（rAION）大鼠模型中的視網膜神經節細胞（RGCs）。(2/3)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：1,380,000元(各年度經費明細)計畫概述：非動脈前缺血性視神經病變會引起粒線體功能障礙導致視網膜神經節細胞凋亡，目前無確切療法，視網膜神經節細胞因獨特之長軸結構而易受粒線體功能障礙影響，本研究主要目的為使用直接對視網膜神經節細胞執行專...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉宜君,元智大學社會暨政策科學學系,"計畫名稱：當博物館與長照服務相遇：「打開博物館」計畫之社會價值研究成果報告：執行起迄：2024/08/01~2025/10/31總核定金額：735,000元(各年度經費明細)計畫概述：第一，具體呈現「打開博物館」計畫的社會價值：傳統上博物館的影響評估從訪談、觀察法或問卷調查，常是部分研究對象的意見，尤其文化與藝術領域的影響與價值向來質性表達為多，社會投資報酬考慮到所有因素，...(詳)中文關鍵字：社會投資報酬、打開博物館、高齡失智照顧、社會投資報酬率、非藥物介入英文關鍵字：Social Return on Investment, opening museums, dementia care for the elderly, social return on investment, non-pharmacological interventions,中文摘要：隨著臺灣快速邁入超高齡社會，失智症患者比例逐年上升，如何透過非藥物介入提升高齡者的生活品質，成為公共政策與長照體系的重要課題。本研究以新北市文化基金會推動之「聊藝療」計畫中的「打開博物館」方案...(詳)英文摘要：The study adopts a mixed-methods approach, combining literature review, secondary data analysis, in-depth interviews, and focus group discussions. It examines the project’s inputs (e.g., financial...(詳)"
113,劉宜芬,國立高雄科技大學管理學院運籌管理系,"計畫名稱：訊息框架能否及如何改變人們對未來事件的知覺時間距離與行動意願？跨事件本質與跨訊息框架之比較成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：1,580,000元(各年度經費明細)計畫概述：在學術發展方面，本研究成果將有助於釐清氣候變遷與永續消費的文獻中有關「操弄時間框架或構念階層對知覺時間距離與永續行為意願之效果」此一重要研究主題的不一致研究結果；同時，它也有助於財務規劃領域的...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉宜旻,臺北醫學大學藥學系（所）,"計畫名稱：合成系列醯基苯甲酸衍生物作為鈣離子通道阻斷劑小分子用於頭頸癌的治療成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,470,000元(各年度經費明細)計畫概述：本類CRAC通道抑制劑藥理機轉化合物，目前尚未有FDA上市藥物，且現今只有兩個同藥理機轉化合物在臨床試驗中，尚未有更進一步的發展
。同時針對高發生率的頭頸癌的治療法，目前普遍使之療法，只能針...(詳)中文關鍵字：鈣離子通道阻斷劑，小分子，頭頸癌英文關鍵字：calcium ion channel inhibitor，small molecules，head and neck squamous cancer中文摘要：在頭頸癌中，頭頸鱗狀細胞癌(HNSCC)是最常見的類型。HNSCC發生於黏膜層或不同部位，如口腔、唇、鼻咽、口咽、下嚥、喉和頸食道。根據HNSCC的發生位置，由於檳榔咀嚼習慣的廣泛傳播，口腔癌...(詳)英文摘要：In the head and neck cancers, the head and neck squamous cell carcinoma (HNSCC) is the most common type. HNSCC occurring in the mucosal linings or different locations, such as oral cavity, lip, na...(詳)"
113,劉亞明,國立成功大學經濟學系,"計畫名稱：空氣汙染與交通事故成果報告：執行起迄：2024/08/01~2026/01/31總核定金額：1,024,000元(各年度經費明細)計畫概述：本研究利用台灣的相關資料實證分析空氣汙染對交通事故發生的影響。研究的意義在於幫助我們了解空氣汙染除對健康產生負面影響外，也會提高交通事故相關的社會成本。中文關鍵字：空氣汙染；交通事故；風險；迴避行為英文關鍵字：air pollution; traffic accident; risk; avoidance behavior中文摘要：本研究利用 2018–2024 年臺灣環境部空氣品質監測網之氣象資料，結合警政署交通事故紀錄及高速公路與臺鐵流量資料，檢驗空氣污染（PM2.5）是否影響因違規行為導致的交通事故，並探討交通流量...(詳)英文摘要：This study investigates whether air pollution, measured by PM2.5 concentrations, affects traffic accidents caused by traffic violations in Taiwan between 2018 and 2024. Air pollution and other wea...(詳)"
113,劉亞平,振興醫療財團法人振興醫院精神醫學部,"計畫名稱：探討創傷壓力強度對恐懼調控異常的機制-神經膠細胞、神經興奮性毒性、補體系統的中介作用研究成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,088,000元(各年度經費明細)計畫概述：本次計畫旨在釐清創傷壓力引起的構成條件，即為創傷壓力強度/中樞發炎狀態/突觸功能缺損三個條件應對創傷壓力症相關之恐懼記憶異常的發展缺一不可。其結果在基礎研究上，能建立之創傷壓力與發炎系統的研究...(詳)中文關鍵字：恐懼消除, 恐懼泛化, 微小膠細胞, 創傷後壓力症英文關鍵字：Fear extinction, Fear generalization, Microglia, Post-traumatic stress disorder中文摘要：創傷後壓力症(Post-traumatic stress disorder, PTSD)發生在個體經歷難以承受的創傷壓力之後，並且造成恐懼調控機制異常，特別是恐懼消除缺損(fear extin...(詳)英文摘要：Post-traumatic stress disorder (PTSD) arises in individuals exposed to unbearable traumatic stress, often resulting in abnormal fear regulation, particularly deficits in fear extinction and increa...(詳)"
113,劉貞妤,國立中央大學語言中心,"計畫名稱：探究TED演講與TED-Ed動畫做為學術英語常用短語教材之合適性與學習成效：結合語料庫分析與實證研究之探究成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：1,480,000元(各年度經費明細)計畫概述：本研究計畫旨在透過語料庫分析以及實證研究探究TED演講與TED-Ed動畫是否可做為輔助學術常用短語學習之有益資源。本研究將分別基以TED演講與TED-Ed動畫語料庫分析其學術常用短語涵蓋，探究...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉璟鋒,奇美醫療財團法人奇美醫院耳鼻喉部,"計畫名稱：發展多聲道麥克風陣列結合語音增強技術於智慧眼鏡平台的創新整合應用成果報告：執行起迄：2024/06/01~2025/05/31總核定金額：581,000元(各年度經費明細)計畫概述：預計發展出結合新設計麥克風陣列、語音辨識演算法及已產品化智慧眼鏡平台的新型態聽障輔助系統，真實有效幫助全球全聾聽障病患改善生活體驗，融入聽力正常的群體之中，增進生活便利性。在經濟上，可以加強重...(詳)中文關鍵字：聽障、麥克風陣列、智慧眼鏡英文關鍵字：Hearing impairment, microphone array, smart glasses中文摘要：重度及極重度聽障患者因耳蝸聽覺功能嚴重缺損，即使使用助聽器增大聲音，也無法刺激聽神經產生反應，而電子耳的移植不僅昂貴且須長時間的聽能復健，而對於成人重度聽障而言,往往成效不佳。發展可以在智慧眼...(詳)英文摘要：Severe and profound hearing loss sufferers from severe cochlear impairments. Even with hearing aids, amplifying sound levels cannot stimulate the auditory nerve. Implanting an electronic ear is no...(詳)"
113,劉冠顯,國立臺中科技大學資訊工程系(含碩士班),"計畫名稱：基於輕量級視覺轉換器和注意力模組之深度神經網路進行臉部微表情識別及生成技術研究成果報告：執行起迄：2024/08/01~2025/11/30總核定金額：759,000元(各年度經費明細)計畫概述：計畫之目的在把微表情辨識及生成的研究成果應用在日常生活上，例如：在學校的環境中，檢測學生回答問題時的真實性。在車站、商場等公共地區場域，辨識出有緊張、情緒不穩、說謊等微表情人士。在醫療機構，即...(詳)中文關鍵字：微表情辨識、3DCNN、GRU、通道注意力機制、加權類別交叉熵、類別不平衡英文關鍵字：Micro-expression recognition, 3DCNN, GRU, Channel Attention, Weighted Categorical Cross-Entropy, Category Imbalance中文摘要：微表情辨識（MER）是一項極具挑戰性的任務，主要原因在於其動作幅度微小、持續時間短暫，且現有數據集存在嚴重的類別不平衡問題。本研究提出了一種結合雙分支三維卷積神經網絡（3DCNN）與門控循環單...(詳)英文摘要：Micro-expression recognition (MER) remains a formidable challenge due to the subtle and fleeting nature of facial movements, compounded by the severe category imbalance in available datasets. This...(詳)"
113,劉冠汶,國立成功大學水利及海洋工程學系（所）,"計畫名稱：利用被動式時反法與聲線法進行水中聲源三維定位之實海域實驗驗證研究成果報告：執行起迄：2024/10/01~2025/07/31總核定金額：722,000元(各年度經費明細)計畫概述：國防科技相關研究之關鍵理論與技術，必須由國內自主研發、掌握技術核心、自行維護及營運，以建立堅不可摧的國防能量。本研究計畫為建立即時智慧化海洋目標物定位之前導學術研究，為臺灣海洋國防與監測中至關...(詳)中文關鍵字：被動時間反轉法、聲線法、聲源定位、三維定位、十字陣列、實海域實驗英文關鍵字：Passive time-reversal mirror, ray theory, sound source localization, three-dimensional localization, cross array, field experiment中文摘要：淺海環境中，海面與海床的交互作用導致多重路徑效應顯著，致使水下目標偵測與定位面臨挑戰。既有之波束形成與匹配場處理多用於長距離、廣域定位，其解析度與適用性在淺海複雜環境相對受限。因應淺海多重路徑...(詳)英文摘要：Pronounced shallow-water multipath is known to degrade localization performance, thereby constraining the resolution and robustness of conventional long-range methods. To enhance stability under s...(詳)"
113,劉冠宏,國立成功大學醫學系內科學科,"計畫名稱：探索粒線體在水份排除的角色：分析MICU1對AQP2動態影響成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：2,823,000元(各年度經費明細)計畫概述：本研究旨在探討Mitochondrial Calcium Uptake 1 (MICU1)在腎臟水平衡調節中的角色，特別關注其對血管收縮素信號和AQP2水通道蛋白的影響。利用ksMICU1 K...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉冠妙,中山醫學大學醫學應用化學系(含碩士班),"計畫名稱：生物功能性喹啉衍生物之開發及應用探索(2/2)成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：1,160,000元(各年度經費明細)計畫概述：本實驗室最近幾年在基礎研究的耕耘上獲得不錯的正面成果，申請者除了繼續進行更完整的研究之外，於本計畫中也對基礎研究所發現的現象提出應用的設計，希望可以創造出更多及更令人驚艷的延伸應用；而實驗室在...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉澤英,國立陽明交通大學生物醫學工程學系,"計畫名稱：可以抑制癌症移轉與調控腫瘤相關脂肪細胞微環境的活性物質研究與開發成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：4,994,000元(各年度經費明細)計畫概述：本計畫透過奈米複合體製備技術發展奈米複合體來作為可以抑制癌症移轉與調控腫瘤相關脂肪細胞微環境的活性物質, 可以預防/抑制 (1) 乳癌轉移; (2) 局部脂肪導致腫瘤惡化; (3) 輔助放療組...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉澤英,國立陽明交通大學生物醫學工程學系,"計畫名稱：水難溶性植物萃取物之包覆劑型開發與多功能健康食品應用成果報告：執行起迄：2024/06/01~2025/05/31總核定金額：680,000元(各年度經費明細)計畫概述：本計畫擬開發一種由幾丁聚醣 (或其衍生物) 為主材料的包覆技術與劑型設計來包覆水難溶性植物萃取物，達到「不易形成體脂肪」及「護肝」雙功效，未來開發成健康食品後，能夠緩解台灣成人肥胖率已達到50...(詳)中文關鍵字：植物萃取物、幾丁聚醣、肥胖、脂肪肝、載體英文關鍵字：Plant extract, chitosan, obesity, fatty liver, carrier中文摘要：肥胖與非酒精性脂肪肝病已成為全球及台灣主要的公共健康問題，除與心血管疾病、糖尿病及代謝症候群密切相關外，亦大幅提高癌症與慢性肝病的風險。然而，目前臨床上缺乏專一治療藥物，主要仍依賴生活型態調整...(詳)英文摘要：Obesity and non-alcoholic fatty liver disease (NAFLD/MASLD) have become major public health issues globally and in Taiwan. These conditions are closely linked to cardiovascular diseases, diabetes,...(詳)"
113,劉邦榮,國立臺北科技大學電機工程系（所）,"計畫名稱：高效能漣波調變控制之降壓型及升壓型轉換器設計成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：3,333,000元(各年度經費明細)計畫概述：本計畫研究高效能之漣波調變控轉換器主要以晶片設計方式進行，因此所研究開發之技術除了可減少所需元件以滿足民生消費性電子產品薄型化需求外，亦可提升轉換器效率、延長電池使用時間，並可應用於可攜式行動...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉邦鋒,國立臺灣大學資訊工程學系暨研究所,"計畫名稱：針對異構計算系統執行深度學習應用的高效能多處理器資源調度方法成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：2,880,000元(各年度經費明細)計畫概述：This proposal suggests verious techniques to reduce the memory and time requirements for running...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉梧柏,國立成功大學會計學系（所）,"計畫名稱：企業永續負面事件與永續委員會成員異動成果報告：未達繳交期限執行起迄：2024/08/01~2026/01/31總核定金額：756,000元(各年度經費明細)計畫概述：企業永續發展是近年來非常熱門的議題。近年來，主管機關開始加強對治理層級在推動企業永續發展中所扮演的角色與承擔的責任。不論美國證管會或我國金管會皆對永續治理提出看法與發布相關行動方案，由此可知治...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉碧交,文藻學校財團法人文藻外語大學西班牙語文系（科）,"計畫名稱：二十世紀西班牙與台灣戒嚴時期的文化場域與文學生態 IV-IV成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：699,000元(各年度經費明細)計畫概述：本計畫之完成，可提供國內外學者更深入比較了解二十世紀西班牙與台灣在戒嚴思想控制下，雖有其各自之文化，但政治權力以有形或無形的方式，操控文化場域、文學生態。另外，商業經濟使得雜誌、報紙、出版社、...(詳)中文關鍵字：西班牙佛朗哥政權晚期, 民主過渡時期, 蔣氏政權晚期,審查制度英文關鍵字：the late Franco regime, the democratic transition in Spain, he late period of the Chiang regime in Taiwan, censorship中文摘要：本研究探討西班牙佛朗哥政權晚期及民主過渡時期與臺灣蔣氏政權晚期，文學與出版場域的轉型過程。透過比較兩地在經濟成長與政治轉變背景下的發展，分析出版產業如何成為文化變革的重要推動力量。在西班牙，儘...(詳)英文摘要：This study examines the transformation of the literary and publishing fields during the late Franco regime and the democratic transition in Spain, as well as during the late period of the Chiang r...(詳)"
113,劉馨惠,臺北榮民總醫院內科部心臟內科,"計畫名稱：新型非類固醇鹽皮質激素受體拮抗劑於心腎症候群的電生理調節與致命型心律不整的效用成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：4,500,000元(各年度經費明細)計畫概述：傳統心律不整抑制劑無法有效降低心臟或腎臟衰竭造成的心律不整併發症。其中，抑制腎素-血管張力素-醛固酮系統的類固醇鹽皮質激素受體與非類固醇鹽皮質激素受體拮抗劑能有效降低心因性猝死，但尚未成為標準...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉義強,國立陽明交通大學機械工程學系,"計畫名稱：能授粉及採水樣的仿生蜂鳥成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：3,246,000元(各年度經費明細)計畫概述：撲翼無人機具有完美融入大自然的優勢。撲翼靈活；它們以較低的頻率拍動，以產生足夠的推力來舉起小型無人機。因此，與四軸飛行器使用的快速旋轉螺旋槳的高音調噪音相比，撲動翅膀的聲音被減弱。此外，靈活的...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉說安,國立中央大學太空及遙測研究中心,"計畫名稱：提升台灣的乾旱監測能力：利用衛星資料和機器學習技術的先進框架成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：3,160,000元(各年度經費明細)計畫概述：社會發展面向：有助於建立創新方法，提升對乾旱的意識及警覺性，並協助地區有效地準備和應對乾旱情況和水資源短缺。
經濟發展面向：提出更有效水資源管理的建議方案，從而降低乾旱事件中所引發經濟發展的...(詳)中文關鍵字：乾旱監測、地表溫度、機器學習、遙測、地表水可用性–溫度指數英文關鍵字：Drought Monitoring; Land Surface Temperature (LST); Machine Learning (ML); Remote Sensing (RS); Surface Water Availability-Temperature Index (SWATI)中文摘要：乾旱是全球最嚴重的自然災害之一，對臺灣的關鍵產業如農業與半導體製造構成重大挑戰。為有效管理水資源，準確的乾旱評估至關重要，促使先進的衛星監測技術持續發展。本報告呈現的是三年期計畫（2024年8...(詳)英文摘要：Drought is among the most severe natural disasters globally, posing particular challenges to Taiwan’s critical sectors such as agriculture and semiconductor manufacturing. Accurate assessment is e...(詳)"
113,劉說安,國立中央大學太空及遙測研究中心,"計畫名稱：流域之水土保持脆弱度評估-以淡水河和濁水溪盆地為例成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,125,000元(各年度經費明細)計畫概述：社會發展面向：將提供有關流域健康狀況及其成因的資訊，有利於人們在健康流域附近從事各種休閒娛樂活動，促進社會之健全發展。
經濟發展面向：健康的流域帶來良好的生態系統服務，例如乾淨水資源、新鮮空...(詳)中文關鍵字：流域脆弱度、遙測、地理資訊系統技術、層級分析法、主成分分析、土地利用/覆蓋、植生指數英文關鍵字：Watershed vulnerability; remote sensing; GIS techniques; AHP; PCA; land use/land cover (LULC); vegetation indices (VIs)中文摘要：為了應對臺灣流域退化的挑戰，本計畫建立了一個優化的評估框架，利用遙測與地理資訊系統（GIS）技術來評估濁水溪與淡水河流域的脆弱度。此框架透過多維度與可量測指標，整合自然與社會經濟因素，提供一個...(詳)英文摘要：To address the challenges of watershed degradation in Taiwan, an optimized framework was developed to evaluate vulnerability in the Zhuoshui and Tamsui River basins using remote sensing and GIS te...(詳)"
113,劉京翰,國軍高雄總醫院心臟內科,"計畫名稱：研究SGLT2抑制劑對酒精性心肌病的心臟保護潛力與機制成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：1,050,000元(各年度經費明細)計畫概述：目前治療酒精性心肌病變，除心臟移植，無任何治療藥物。即使酒精性心肌病變僅佔所有心肌病變種類3.8%，但佔所有心肌病變死因高達6.9%，顯示治療酒精心肌病變臨床上的重要性。此外，對於酒精性心肌病...(詳)中文關鍵字：酒精性心肌病變，SGLT2抑制劑，恩格列淨，酒精性肝病英文關鍵字：Alcoholic cardiomyopathy, SGLT2 inhibitor, Empagliflozin, Alcoholic liver disease中文摘要：酒精性心肌病變 (ACM) 是慢性或急性酒精濫用的嚴重併發症，可發展為心臟衰竭 (HF)。目前，ACM尚無治癒療法，心臟移植仍是唯一的根除方法。恩格列淨是一種鈉-葡萄糖協同轉運蛋白-2 (SG...(詳)英文摘要：Alcoholic cardiomyopathy (ACM) is a serious complication of chronic and acute alcohol abuse that can progress to heart failure (HF). Currently, no curative therapy exists for ACM, and heart transp...(詳)"
113,劉庭祿,中央研究院資訊科學研究所,"計畫名稱：子計畫三：生成式視訊編輯與相關電腦視覺技術成果報告：未達繳交期限執行起迄：2024/08/01~2027/07/31總核定金額：3,343,000元(各年度經費明細)計畫概述：本研究計畫其主要目標是發展基於生成式模型的視訊編輯技術與相關電腦視覺應用。針對視訊編輯問題所衍生的各類難題與挑戰，提出適用的視訊表示模型，並藉由生成式建模開發出相對應的視訊編輯演算法。本計畫的...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉維昇,元智大學電機工程學系（所）,"計畫名稱：利用射頻磁控濺鍍技術製備β-Ga2O3 X射線感測器成果報告：執行起迄：2024/01/01~2024/12/31總核定金額：1,050,000元(各年度經費明細)計畫概述：本計畫旨在利用射頻磁控濺鍍技術製備高效的β-Ga2O3 X射線感測器，並優化其性能，以滿足當前醫療檢測和工業應用中對於高精度和高效率的X射線檢測需求。透過此研究，預期可以大幅提升醫療成像的準確...(詳)中文關鍵字：β-Ga₂O₃、IGZO、透明導電薄膜、深紫外光與X射線偵測、RF射頻磁控濺鍍。英文關鍵字：β-Ga2O3, IGZO, Deep UV and X-ray detection, RF Magnetron Sputtering.中文摘要：在現代醫療檢測技術中，X射線成像作為一種關鍵診斷工具，廣泛應用於骨折、腫瘤及感染等醫療狀況的診斷與監測。同時，X射線感測技術在工業非破壞檢測、太空探索、安全監控、品質控制及材料檢驗等領域也具有...(詳)英文摘要：In modern medical diagnostic technology, X-ray imaging serves as a critical diagnostic tool widely used in the identification and monitoring of medical conditions such as fractures, tumors, and in...(詳)"
113,劉維民,輔仁大學學校財團法人輔仁大學化學系（所）,"計畫名稱：以螢光分子轉子工具來標定生物分子凝聚體及探究凝聚體內生物分子的構型改變和對核糖核酸酶反應速率的影響(1/2)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：2,366,000元(各年度經費明細)計畫概述：生物分子凝聚體可提供一個優化的特定場域來進行反應及調節生理功能，同時也與許多疾病的生成有關。然而因生物分子凝聚體凝聚的過程複雜且不同組成的生物分子凝聚體有著不同的特性，因此至今尚未有一套有效的...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉亮雅,國立臺灣大學外國語文學系暨研究所,"計畫名稱：二十一世紀台灣女性小說中的歷史重構與性別議題：以三位女作家為例(3/3)成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：825,000元(各年度經費明細)計畫概述：賴香吟、鍾文音與胡淑雯拓展對白色恐怖議題的探究，並分別關注社運學運、北漂勞工、性少數，就歷史記憶書寫而言都深具開拓性。而她們對性別議題的細膩處理，亦顯現有別於男作家的性別反思。我深信，三位女作...(詳)中文關鍵字：歷史重構，性別，二十一世紀台灣小說，女性小說英文關鍵字：historical reconstruction, gender, twenty-first-century Taiwanese fiction, women’s fiction中文摘要：戒嚴時期被壓抑記憶的復返在二十一世紀依然如火如荼。這一方面反照出戒嚴時期人人心中有個小警總的時代之恐怖，乃至於解嚴雖已超過三十年，但歷史記憶依舊是文學書寫的核心議題。各種邊緣弱勢聲音繼續想要發...(詳)英文摘要：Although Taiwan witnessed the end of martial rule over thirty years ago, historical memories remain a central theme in twenty-first-century Taiwanese literature. On the one hand, it is the phenome...(詳)"
113,劉鎮維,國立東華大學化學系,"計畫名稱：含氫之雙金屬簇應用於永續能源之光(電)催化劑(3/3)成果報告：執行起迄：2024/08/01~2025/09/30總核定金額：8,414,000元(各年度經費明細)計畫概述：多氫銅簇已被證實在電解催化還原二氧化碳成為甲酸過程中扮演非常重要的催化劑角色，有助於分解二氧化碳；此技術若能產業化，當是減碳降低溫室效應的利器。中文關鍵字：超原子，錢幣族金屬，氫負離子，電催化，X光繞射。英文關鍵字：superatom, coinage metals, hydride, electrocatalysis, X-ray diffraction中文摘要：本次合成由二硫族配位基穩定的結構精確奈米團簇的成果豐碩，本團隊所合成的奈米團簇已發表於頂尖化學期刊，包含含氫化合物雙金屬富銅奈米團簇MH2Cu14 (M = CuI, AgI, Pd0, Pt...(詳)英文摘要：The results on the synthesis of structurally precise nanoclusters stabilized by dichalcogenolates are fruitful. Nanoclusters solely produced from Liu group have been published in the top chemistry...(詳)"
113,劉鎮寧,國立屏東大學教育行政研究所,"計畫名稱：國民小學師傅校長內隱領導力與內隱追隨力的正、反原型，內隱領導力量表與內隱追隨力量表的發展與現況調查，以及師傅校長與徒弟校長配對關係之研究成果報告：未達繳交期限執行起迄：2024/08/01~2026/07/31總核定金額：1,766,000元(各年度經費明細)計畫概述：首先，從學術發展的預期影響論之，本研究計畫係將長期以來主導校長領導研究取向的以領導者為中心的領導，轉向為以追隨者為中心的領導，此一領導理論的轉向，凸顯出領導力是伴隨追隨力而出現。本研究...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
113,劉辰生,國立陽明交通大學外國語文學系,"計畫名稱：「比」字比較句：比較與對照的交匯點成果報告：執行起迄：2024/08/01~2025/07/31總核定金額：748,000元(各年度經費明細)計畫概述：本計畫的目的在探討漢語「比」字比較句的語法和語意特性。計畫性質屬純學術性的語言學基礎理論研究。雖然在社會及經濟等面向上，不預期會有立即可見的影響，但對漢語比較句的語法和語意研究會有一定程度的幫...(詳)中文關鍵字：附加語、論元、逆向刪略、「比」比較句、成分-統制限制條件、子句型「比」比較句、對照刪略、類深層照應的表層照應詞、附加語分布條件、直接支配條件、最小冗餘要求、平行性要求、詞組型「比」比較句英文關鍵字：adjunct, argument, backward ellipsis, bǐ comparative, c-command condition, clausal bǐ comparative, contrastive ellipsis, deep-anaphora-like surface anaphora, condition on adjunct distribution, direct dominance condition , minimal redundancy requirement, parallelism requirement, phrasal bǐ comparative中文摘要：漢語的「比」比較句是一種對照式焦點結構，融合了比較與對照兩種語義特徵，並可分為詞組型與子句型兩類，兩者的區別在於對照成分的數量。無論是哪一類，「比」詞組作為附加語，必須依附在謂語左側，這是由「...(詳)英文摘要：The Chinese bǐ comparative, a type of contrastive focus construction blending comparison and contrast, has two types: phrasal and clausal, distinguished by the number of contrasted pairs. In both,...(詳)"
113,劉育佑,國立成功大學數學系暨應用數學所,"計畫名稱：利用強化學習尋找流場中最佳控制軌跡成果報告：執行起迄：2024/08/01~2025/10/31總核定金額：484,000元(各年度經費明細)計畫概述：強化學習是機器學習的主要分支之一，是人工智慧建構的重要理論，除了在機器人與棋盤對弈的應用上，本研究期望能將強化學習應用在更多優化控制問題上。中文關鍵字：最佳控制軌跡、紊流燃燒速度、深度強化學習英文關鍵字：Optimal Control Trajectories, Turbulent Flame Speed, Deep Reinforcement Learning中文摘要：本文探討從介面紊流燃燒模型衍生出來的控制軌跡優化問題。我們為此問題建構深度強化學習架構，尤其是策略函數與獎勵函數的定義。對於穩定巢狀流，訓練結果與過去結果一致。對於不穩定巢狀流，我們終於能獲得...(詳)英文摘要：In this report we consider the control trajectory optimization problem derived from G-equation model in turbulent combustion. We set up the framework of deep reinforcement learning for the problem...(詳)"
113,劉育綸,國立陽明交通大學資訊工程學系,"計畫名稱：增強型 ClimateNeRF：在神經渲染中整合 3D 高斯濺射以實現即時動態天氣模擬和進階環境交互(1/4)成果報告：此為多年期計畫，於全程計畫結束後公開成果報告執行起迄：2024/08/01~2025/07/31總核定金額：1,130,000元(各年度經費明細)計畫概述：將3D高斯濺射技術與即時氣象模擬整合進ClimateNeRF框架中，從而提高模擬動態氣象條件下的環境渲染質量。
社會影響：提升虛擬實境和增強現實技術的真實性，為消費者和專業用戶如應急管理員、...(詳)中文關鍵字：英文關鍵字：中文摘要：英文摘要："
